X,Y,,,,,,,,,
6.00%,0.00%,,,,,,,,,
6.00%,0.00%,,,,,,,,,
6.00%,0.00%,,,,,,,,,
6.00%,0.00%,,,,,,,,,
6.00%,0.00%,,,Bulan,Year,,,,,
6.00%,-0.25%,,,,2019,2020,2021,2022,2023,2024
5.75%,-0.25%,,,January,"6,00%","5,00%","3,75%","3,50%","5,75%","6,00%"
5.50%,-0.25%,,,February,"6,00%","4,75%","3,50%","3,50%","5,75%","6,00%"
5.25%,-0.25%,,,March,"6,00%","4,50%","3,50%","3,50%","5,75%","6,00%"
5.00%,0.00%,,,April,"6,00%","4,50%","3,50%","3,50%","5,75%","6,25%"
5.00%,0.00%,,,May,"6,00%","4,50%","3,50%","3,50%","5,75%","6,25%"
5.00%,0.00%,,,June,"6,00%","4,25%","3,50%","3,50%","5,75%","6,25%"
5.00%,-0.25%,,,July,"5,75%","4,00%","3,50%","3,50%","5,75%","6,25%"
4.75%,-0.25%,,,August,"5,50%","4,00%","3,50%","3,75%","5,75%","6,25%"
4.50%,0.00%,,,September,"5,25%","4,00%","3,50%","4,25%","5,75%","6,00%"
4.50%,0.00%,,,October,"5,00%","4,00%","3,50%","4,75%","6,00%","6,00%"
4.50%,-0.25%,,,November,"5,00%","3,75%","3,50%","5,25%","6,00%","6,00%"
4.25%,-0.25%,,,December,"5,00%","3,75%","3,50%","5,50%","6,00%","6,00%"
4.00%,0.00%,,,,,,,,,
4.00%,0.00%,,,,,,,,,
4.00%,0.00%,,,,,,,,,
4.00%,-0.25%,,,,,,,,,
3.75%,0.00%,,,,,,,,,
3.75%,0.00%,,,,,,,,,
3.75%,-0.25%,,,,,,,,,
3.50%,0.00%,,,,,,,,,
3.50%,0.00%,,,,,,,,,
3.50%,0.00%,,,,,,,,,
3.50%,0.00%,,,,,,,,,
3.50%,0.00%,,,,,,,,,
3.50%,0.00%,,,,,,,,,
3.50%,0.00%,,,,,,,,,
3.50%,0.00%,,,,,,,,,
3.50%,0.00%,,,,,,,,,
3.50%,0.00%,,,,,,,,,
3.50%,0.00%,,,,,,,,,
3.50%,0.00%,,,,,,,,,
3.50%,0.00%,,,,,,,,,
3.50%,0.00%,,,,,,,,,
3.50%,0.00%,,,,,,,,,
3.50%,0.00%,,,,,,,,,
3.50%,0.00%,,,,,,,,,
3.50%,0.25%,,,,,,,,,
3.75%,0.50%,,,,,,,,,
4.25%,0.50%,,,,,,,,,
4.75%,0.50%,,,,,,,,,
5.25%,0.25%,,,,,,,,,
5.50%,0.25%,,,,,,,,,
5.75%,0.00%,,,,,,,,,
5.75%,0.00%,,,,,,,,,
5.75%,0.00%,,,,,,,,,
5.75%,0.00%,,,,,,,,,
5.75%,0.00%,,,,,,,,,
5.75%,0.00%,,,,,,,,,
5.75%,0.00%,,,,,,,,,
5.75%,0.00%,,,,,,,,,
5.75%,0.25%,,,,,,,,,
6.00%,0.00%,,,,,,,,,
6.00%,0.00%,,,,,,,,,
6.00%,0.00%,,,,,,,,,
6.00%,0.00%,,,,,,,,,
6.00%,0.00%,,,,,,,,,
6.00%,0.25%,,,,,,,,,
6.25%,0.00%,,,,,,,,,
6.25%,0.00%,,,,,,,,,
6.25%,0.00%,,,,,,,,,
6.25%,0.00%,,,,,,,,,
6.25%,-0.25%,,,,,,,,,
6.00%,0.00%,,,,,,,,,
6.00%,0.00%,,,,,,,,,
6.00%,0.00%,,,,,,,,,